paper_id,score_variance,score_mean,suggestion_similarity_mean
o9YC0B6P2m,0.5,6.5,0.12328122554667476
708lti8yfI,2.0,7.0,0.23347918353507285
X5qi6fnnw7,2.0,7.0,0.11673008684858496
4dHyH42ha7,2.0,7.0,0.10613544686005821
qnGir4dyu9,0.5,6.5,0.21356460127930088
wVmShpwtY0,2.0,7.0,0.21910724281326766
nS2DBNydCC,0.5,6.5,0.19547392682587184
DiWRG9JTWZ,0.5,6.5,0.22366361063146414
ZtTgoomrT1,0.5,6.5,0.23795084180298423
sOte83GogU,2.0,7.0,0.26537694195138883
OUkZXbbwQr,0.5,6.5,0.3086687384296538
cNi2EJ8OCh,0.5,6.5,0.25942224697567456
55oi1LCdDL,2.0,7.0,0.15565164185730293
WX9cd9iII4,0.5,6.5,0.20408544725656008
iOy2pITOoH,0.5,7.5,0.15297519946375787
EXnDAXyVxw,0.5,6.5,0.22120606277117452
aYx7JR20sI,2.0,7.0,0.28040086820725546
xoBPfUyLWj,2.0,6.0,0.2550423868503315
0t1O8ziRZp,0.5,6.5,0.17769898691912245
ukidfml68f,0.5,6.5,0.24510734248829255
0uFTqvQhML,2.0,7.0,0.19368382568048464
GkJCgUmIqA,0.5,7.5,0.296725167030914
4X9RpKH4Ls,2.0,7.0,0.195237715838386
RFqeoVfLHa,0.5,6.5,0.13947582091842184
iriEqxFB4y,0.5,6.5,0.2734254922305797
yatNm6A6sR,0.5,6.5,0.18349161349519041
Fb0q2uI4Ha,0.5,6.5,0.23685313254568652
QkDUdPRcma,0.5,6.5,0.2902433807674829
r0kY4SS7ts,2.0,7.0,0.2509580326559076
0yTf37PXcH,0.5,6.5,0.220560905961631
yIKjkRZBrX,0.5,6.5,0.24142306289668533
GkWA6NjePN,0.5,7.5,0.22321878253791053
b42wmsdwmB,0.5,6.5,0.16632442311092382
3wde105NL2,0.0,1.0,0.20424101780980825
4EjdYiNRzE,0.5,7.5,0.14450381279275332
eJFBMqCE4X,0.5,6.5,0.28082208969676964
7qMrDf9zFU,0.5,6.5,0.2641491265907997
Yk87CwhBDx,2.0,7.0,0.2571514046967112
kSBIEkHzon,2.0,7.0,0.2972454764572658
aNuQyV30Yw,0.5,6.5,0.1955491454803764
pxI5IPeWgW,0.5,6.5,0.1778783176383376
LPfLsSqrQJ,0.5,6.5,0.13615919031926293
gHLWTzKiZV,0.5,7.5,0.18845936605460895
nzvoDKEvU1,2.0,5.0,0.24589839752529663
LvuSFvGShf,0.5,6.5,0.2046340584424183
WRxCuhTMB2,2.0,6.0,0.2811326637495503
PacBhLzeGO,0.5,6.5,0.37748688596348234
QfyZ28FpVY,2.0,7.0,0.1623091608544213
9poxbngJzR,2.0,7.0,0.15026681099804792
cPmLjxedbD,2.0,3.0,0.37099037905926086
